Data                                ezr     lime     shap     rand exact%  orc-r
SS-B                              50.1+    31.1     28.1     -1.6      53   0.99
SS-C                              51.0+    32.1     35.7    -19.4      78   0.99
SS-D                              26.4+    11.7     19.0    -10.7      41   0.87
SS-E                              35.0+    24.7     32.0+    -7.0      55   0.98
SS-F                              36.1+    -0.3     22.4    -17.9      45   0.97
SS-G                              34.5+     8.6     16.3    -12.8      46   0.95
SS-H                              60.1+    41.0     36.2      0.1      72   1.00
SS-I                              34.7+    22.0     21.9     -1.3      62   0.99
SS-J                              54.9+    21.2     32.9      1.2      42   1.00
SS-K                              22.4+    24.0+    17.2      0.5      47   0.99
SS-L                              39.3+    33.8     40.9+     0.1      97   0.99
SS-M                               0.8     79.2+    79.3+     0.3      27   0.99
SS-N                              17.1+    18.4+    18.4+    -0.4      11   0.98
SS-O                               7.5     33.4     41.3+     4.4      52   0.85
SS-P                               3.0     43.5+    45.2+    -0.1      97   0.99
SS-Q                              -9.9     72.5+    74.6+     4.7      38   1.00
SS-R                               9.5     42.8     48.5+     3.0      55   1.00
SS-S                              70.5+    25.0     22.6     -6.0      64   1.00
SS-T                              63.0+    55.8+    43.6     10.9      49   1.00
SS-U                               1.1     54.1+    51.6+    -1.7      36   1.00
SS-V                               3.5     40.7+    40.7+    -0.7      51   1.00
SS-W                               7.9     14.1+    14.8+     1.2     100   0.86
SS-X                               8.9     13.4+    12.8+     1.0      72   1.00
Scrum100k                          8.1     18.0+    18.0+    -0.2      69   0.99
Scrum10k                          10.6     19.9     21.9+    -1.6      69   0.99
Scrum1k                            9.1     23.9+    24.4+    -3.0      67   0.97
WA_Fn-UseC_-HR-Employee-Attr      20.8+    16.2     17.4      0.7       0   0.84
WA_Fn-UseC_-Telco-Customer-C       5.1     25.6+    20.4     -2.1       0   0.99
Wine_quality                       7.0+     3.5      6.6+     0.1       0   0.62
X264_AllMeasurements               4.3     46.2     50.7+    -3.8      43   1.00
accessories                        0.4+     0.5+     0.1     -0.0       0   0.85
all_players                        9.5+     5.2      4.8      0.2       0   0.95
auto93                            45.4+    18.6     21.0      1.8       9   0.94
billing10k                        15.1     32.8     33.6+    -0.7      97   0.99
coc1000                            1.3+     0.5      0.0     -1.0       0   0.05
dataset120                        15.7+     7.7     14.1+     7.0       0   0.59
dataset600                        23.4+    19.9     15.4     10.5       0   0.60
dconvert                          16.3     50.1+    45.6+    -1.3      40   0.99
deeparch                          28.9     65.5+    65.6+    -0.4     100   0.98
dress-up                          -0.0+     0.0+     0.0+     1.1+      0   0.21
exastencils                       38.0+    23.6     37.5+     4.4      44   1.00
home_data_for_ml_course            8.8+     0.8      3.3      0.3       0   0.81
javagc                            52.0+    27.0     22.7     -0.6       7   0.99
multiLabel                         8.3      5.4     11.9+    -0.0       0   0.96
nasa93dem                          1.8      8.3+     9.5+     2.4       3   0.41
player_statistics_cleaned_fi      20.0+    15.7     16.1     -1.1       0   0.77
pom3a                             10.5+     4.4      3.6     -0.3       0   0.52
pom3b                              9.5+     3.2      4.0     -1.7       0   0.50
pom3c                              8.1+     1.4      2.3     -1.3       0   0.48
pom3d                              3.9+     5.5+     3.4+    -1.9       0   0.31
redis                              0.2+     0.9+     1.1+    -0.6+      0   0.62
rs-6d-c3_obj1                     83.6+    22.6     11.5     -2.5      43   1.00
rs-6d-c3_obj2                     97.1+    84.3     69.6      3.2      37   0.99
socks                             93.0+    45.4     62.6    -21.9       0   0.99
sol-6d-c2-obj1                    82.6+    71.7     73.3     11.8      36   1.00
storm                            102.5+    34.8      0.4     -7.6      45   1.00
student_dropout                  100.5+    59.1     59.1      0.0       0   1.00
wallpaper                          0.8     11.6+    11.1+    -0.0       0   0.85
wc+rs-3d-c4-obj1                  97.0+    67.1     34.6     21.1      77   0.98
wc+sol-3d-c4-obj1                 95.2+    74.3     41.5     18.4      80   0.97
wc+wc-3d-c4-obj1                  99.4+    67.1     48.7     16.7      78   0.96
wc-6d-c1-obj1                     79.1+    61.3     48.4     -0.0      60   0.99
x264                              17.6+     5.5     11.3     -1.6       9   0.98
xomo_flight                       50.4+    24.2     20.7     -0.0       0   0.92
xomo_ground                       35.0+    17.2     15.6      0.1       0   0.89
xomo_osp                          35.4+    11.5     17.2     -0.0       0   0.91
xomo_osp2                         16.7+    12.6     13.2     -1.5       0   0.91

#best of 128                         91       48       56        3
