Data                                ezr     lime     shap     rand exact%  orc-r
7z                                92.6+    81.2+    80.6+     3.7      62   1.00
A2C_Acrobot                       12.0+     4.4      6.6      1.6       0   0.49
A2C_CartPole                       9.3+     7.1      4.9      0.4       0   0.60
Apache_AllMeasurements            50.3     58.5     63.3+    -0.9      93   0.98
BDBC                              97.5+    96.0+    90.8+    -1.9      61   1.00
BankChurners                      22.8+     9.9      7.4     -0.7       0   0.88
Car_price_cleaned                  6.5+     2.1      3.3      0.5       0   0.87
Data_COVID19_Indonesia            59.0+    15.3     13.9      0.1       0   1.00
FFM-1000-200-0.50-SAT-1           15.0     31.9+    30.7+    -0.0      93   1.00
FFM-125-25-0.50-SAT-1              8.4     33.5+    30.2      5.1      55   1.00
FFM-250-50-0.50-SAT-1             13.6     29.4+    29.1+    -2.0      95   0.99
FFM-500-100-0.50-SAT-1             7.7     27.0+    26.9+    -0.6      75   0.99
FM-500-100-0.25-SAT-1             11.7     20.1     22.9+    -2.3      70   0.98
FM-500-100-0.50-SAT-1             11.8     24.1+    23.0      1.4      68   0.99
FM-500-100-0.75-SAT-1             11.4     27.5+    27.1+     2.2      90   0.99
FM-500-100-1.00-SAT-1              6.8     28.9+    29.5+    -0.9      88   0.99
HSMGP_num                         47.8     82.2+    83.4+   -24.6      12   1.00
HSQLDB                            35.1     94.5+    94.8+    -0.0      18   0.99
Health-ClosedIssues0000           60.4+    21.7     18.7      0.5       1   0.99
Health-ClosedIssues0001           -0.7     15.5+    17.4+     4.8       1   0.67
Health-ClosedIssues0002            1.8+    -0.0     -0.1     -6.1       1   1.00
Health-ClosedIssues0003            4.6+     2.3      6.9+    -3.0       1   0.80
Health-ClosedIssues0004            2.4+     5.8+     4.1+    -4.4       0   0.74
Health-ClosedIssues0005            5.5+     5.1+     6.7+    -6.1       1   0.98
Health-ClosedIssues0006           24.4+    20.9     20.8     -1.0       1   0.84
Health-ClosedIssues0007            0.7+     0.4+     1.0+    -0.4       1   0.56
Health-ClosedIssues0008           18.0+    15.9+    13.9+     4.0       1   0.73
Health-ClosedIssues0009            4.3+     0.9      3.0      0.8       1   0.70
Health-ClosedIssues0010            0.6+     0.0+     0.5+    -0.5       0   0.62
Health-ClosedIssues0011            5.5+     1.6      1.1     -5.5       1   0.83
Health-ClosedPRs0000             104.9+   104.9+   104.9+     0.0       1   1.00
Health-ClosedPRs0002              41.1+     0.0      0.0     -7.5       1   1.00
Health-ClosedPRs0003              66.4+     0.0      0.0     -7.1       1   1.00
Health-ClosedPRs0004               6.9+     2.5      1.7     -1.7       1   0.81
Health-ClosedPRs0005              11.5+    -0.8     -0.5     -9.6       1   0.95
Health-ClosedPRs0006              10.2+     5.3      4.3      0.1       1   0.60
Health-ClosedPRs0007               7.2+     2.2      3.2     -3.9       1   0.65
Health-ClosedPRs0008               4.4+     5.8+     2.9      2.3       1   0.57
Health-ClosedPRs0009               1.6+     0.5      1.0     -0.2       1   0.81
Health-ClosedPRs0010               6.5+     2.7      2.8      0.4       1   0.83
Health-ClosedPRs0011              33.6+     0.0      0.0     -7.3       0   1.00
Health-Commits0000                61.6+    24.5     23.0     -2.1       1   0.99
Health-Commits0001                13.4+    -0.8     -1.1    -11.8       1   0.98
Health-Commits0002                 0.1+     0.1     -0.0     -3.5       1   1.00
Health-Commits0003                 2.8+    -0.3      1.2     -2.3       1   0.86
Health-Commits0004                 7.7     15.6+    14.9+    -4.6       1   0.92
Health-Commits0005                 8.0+     9.1+     6.7+    -0.6       1   0.71
Health-Commits0006                 1.3     36.6+    42.6+     8.4       1   0.98
Health-Commits0007                32.1+     6.8      8.4      0.5       1   0.76
Health-Commits0008                 4.6+     5.2+     6.2+     2.4       1   0.51
Health-Commits0009                20.4     40.1+    36.6+     2.3       2   0.94
Health-Commits0010                 0.1+    -2.8     -3.8     -4.2       1   0.69
Health-Commits0011                 2.3+    -0.0      1.2     -3.8       0   0.77
LLVM                              37.3     44.8     48.5+     4.0     100   0.97
Life_Expectancy_Data              22.9+    11.0     10.6     -0.2       0   0.94
Loan                              17.6+    12.6     12.4      0.0       0   0.96
Marketing_Analytics               11.1+     5.5      6.2      1.3       0   0.78
Medical_Data_and_Hospital_Re       3.5+     1.0+     4.1+     1.2+      0   0.23
PostgreSQL                         2.7     76.2+    76.3+    -3.0      82   0.39
SQL_AllMeasurements                1.3+     1.0+     1.4+    -2.2      19   0.57
SS-A                              51.2+     8.1     28.5    -34.1      77   1.00
