dataset,e_ezr,e_lime,e_shap,e_rand,e_best,l_ezr,l_lime,l_shap,l_rand,l_best
7z,0.0,1.3,0.0,-2.6,lime,4.2,0.1,0.2,1.8,ezr lime shap rand
A2C_Acrobot,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand
A2C_CartPole,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand
Apache_AllMeasurements,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap
BDBC,0.0,0.3,0.2,-0.0,lime shap,-0.3,0.1,0.1,0.1,lime shap rand
BankChurners,0.0,0.0,0.0,-12.5,ezr lime shap,0.0,0.4,0.0,-4.1,ezr lime shap
Car_price_cleaned,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand
Data_COVID19_Indonesia,0.0,0.0,0.0,0.0,ezr lime shap rand,0.7,0.0,0.0,-2.0,ezr lime shap
FFM-1000-200-0.50-SAT-1,0.0,0.0,0.0,-18.8,ezr,-29.8,-6.0,-6.0,-45.7,lime shap
FFM-125-25-0.50-SAT-1,0.0,24.2,6.5,-0.2,lime shap,-18.8,0.2,0.0,-47.9,lime
FFM-250-50-0.50-SAT-1,0.0,6.3,6.3,-6.7,lime shap,-25.3,-5.5,-5.5,-43.7,lime shap
FFM-500-100-0.50-SAT-1,0.0,21.1,8.0,-3.2,lime shap,-19.6,0.0,-2.7,-47.1,lime shap
FM-500-100-0.25-SAT-1,0.0,13.1,16.6,-8.1,lime shap,-29.7,-3.9,-13.1,-43.6,lime
FM-500-100-0.50-SAT-1,0.0,5.2,0.0,-27.5,lime,-19.7,-10.8,-5.3,-53.8,lime shap
FM-500-100-0.75-SAT-1,0.0,0.0,0.0,-15.9,ezr,-20.1,-0.1,-2.1,-54.6,lime shap
FM-500-100-1.00-SAT-1,0.0,2.5,4.9,3.2,ezr lime shap rand,-35.8,-3.8,-4.0,-49.7,lime shap
HSMGP_num,0.0,0.0,0.0,-2.5,ezr lime shap,-4.0,0.1,0.0,-4.6,lime shap
HSQLDB,0.0,0.0,0.0,-0.3,ezr shap,0.0,0.0,0.0,-1.3,ezr lime shap
Health-ClosedIssues0000,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.1,1.0,-0.1,ezr lime shap rand
Health-ClosedIssues0001,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.7,0.0,0.0,-1.3,lime shap
Health-ClosedIssues0002,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand
