dataset,e_ezr,e_lime,e_shap,e_rand,e_best,l_ezr,l_lime,l_shap,l_rand,l_best,k,n_x,e_full,l_full
Wine_quality,0.0,0.0,0.0,0.0,ezr lime shap,0.0,0.0,0.0,0.0,ezr lime shap rand,8,10,49.9,54.4
X264_AllMeasurements,0.0,8.2,9.2,2.2,lime shap,-9.0,-0.0,-0.0,-6.3,lime shap,6,16,86.6,100.0
accessories,0.0,0.0,0.0,0.0,lime shap rand,0.0,0.0,0.0,0.0,lime shap,5,14,3.4,3.2
all_players,0.0,0.0,0.0,-0.1,lime shap,-2.5,-0.7,0.0,-4.0,ezr lime shap rand,9,55,70.8,81.3
auto93,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap,3,4,76.6,78.1
billing10k,0.0,11.6,11.6,-17.9,lime shap,-18.1,-9.2,-1.7,-49.5,shap,8,88,55.5,87.9
coc1000,0.0,0.0,0.0,-21.9,ezr lime shap,24.5,7.6,0.0,4.3,ezr lime shap rand,9,20,35.2,24.0
dataset120,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,9,100.0,100.0
dataset600,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,9,100.0,100.0
dconvert,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.3,0.0,0.0,-2.4,lime shap,9,18,94.3,94.6
deeparch,0.0,-0.2,-0.2,-0.2,ezr,0.0,-0.0,-0.0,-0.1,ezr,6,12,99.9,99.9
dress-up,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,-0.0,lime shap,7,20,0.1,0.1
exastencils,0.0,0.0,0.0,2.3,ezr shap,-1.2,-1.7,0.0,-2.9,ezr lime shap rand,4,12,74.5,75.9
home_data_for_ml_course,0.0,0.0,0.0,-11.6,ezr lime shap,0.0,-1.9,-2.4,-21.5,ezr,10,77,29.3,47.0
javagc,0.0,0.0,0.0,-0.0,ezr lime shap rand,-3.4,-0.5,-0.7,-0.2,ezr lime shap rand,10,35,91.0,92.8
multiLabel,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,46,100.0,100.0
nasa93dem,0.0,14.8,0.0,15.8,lime rand,0.0,0.0,0.0,-5.0,ezr lime shap rand,4,22,33.4,65.1
player_statistics_cleaned_final,0.0,0.0,0.0,0.0,ezr lime shap,0.0,0.0,0.0,-2.7,ezr lime shap,6,26,74.4,74.4
