dataset,ezr,lime,shap,rand,best
7z,1.00,0.69,0.95,0.15,ezr
A2C_Acrobot,0.95,0.69,0.57,0.22,ezr
A2C_CartPole,0.92,0.83,0.67,0.31,ezr
Apache_AllMeasurements,1.00,0.85,0.91,0.24,ezr
BDBC,1.00,1.00,0.97,0.11,ezr
BankChurners,0.92,0.66,0.69,0.10,ezr
Car_price_cleaned,0.97,0.78,0.80,0.05,ezr
Data_COVID19_Indonesia,1.00,0.54,0.92,0.05,ezr
FFM-1000-200-0.50-SAT-1,0.97,1.00,0.89,0.00,ezr lime
FFM-125-25-0.50-SAT-1,1.00,0.99,0.92,0.01,ezr lime
FFM-250-50-0.50-SAT-1,0.99,1.00,0.90,0.01,ezr lime
FFM-500-100-0.50-SAT-1,0.97,0.97,0.89,0.00,ezr lime
FM-500-100-0.25-SAT-1,1.00,0.91,0.82,0.00,ezr
FM-500-100-0.50-SAT-1,0.99,1.00,0.85,0.00,ezr lime
FM-500-100-0.75-SAT-1,0.97,1.00,0.90,0.00,ezr lime
FM-500-100-1.00-SAT-1,1.00,1.00,0.90,0.00,ezr
HSMGP_num,1.00,0.91,0.90,0.14,ezr
HSQLDB,1.00,0.60,0.90,0.11,ezr
Health-ClosedIssues0000,1.00,0.74,0.91,0.44,ezr
Health-ClosedIssues0001,1.00,0.85,0.86,0.46,ezr
Health-ClosedIssues0002,1.00,0.63,0.85,0.46,ezr
Health-ClosedIssues0003,1.00,0.81,0.90,0.45,ezr
Health-ClosedIssues0004,1.00,0.90,0.85,0.45,ezr
Health-ClosedIssues0005,1.00,0.75,0.88,0.47,ezr
Health-ClosedIssues0006,1.00,0.88,0.90,0.47,ezr
Health-ClosedIssues0007,0.98,0.86,0.90,0.45,ezr
Health-ClosedIssues0008,1.00,0.93,0.90,0.45,ezr
Health-ClosedIssues0009,0.97,0.80,0.84,0.45,ezr
Health-ClosedIssues0010,0.98,0.85,0.85,0.45,ezr
Health-ClosedIssues0011,1.00,0.79,0.92,0.43,ezr
Health-ClosedPRs0000,1.00,0.51,1.00,0.45,ezr shap
Health-ClosedPRs0002,1.00,0.56,0.86,0.45,ezr
Health-ClosedPRs0003,1.00,0.61,0.87,0.46,ezr
Health-ClosedPRs0004,1.00,0.80,0.90,0.47,ezr
Health-ClosedPRs0005,1.00,0.72,0.89,0.45,ezr
Health-ClosedPRs0006,0.97,0.89,0.91,0.45,ezr
Health-ClosedPRs0007,0.99,0.87,0.89,0.46,ezr
Health-ClosedPRs0008,0.98,0.75,0.88,0.46,ezr
Health-ClosedPRs0009,0.98,0.83,0.88,0.44,ezr
Health-ClosedPRs0010,0.98,0.90,0.87,0.47,ezr
Health-ClosedPRs0011,1.00,0.59,0.86,0.45,ezr
Health-Commits0000,0.97,0.64,0.88,0.45,ezr
Health-Commits0001,1.00,0.66,0.86,0.47,ezr
Health-Commits0002,1.00,0.61,0.90,0.44,ezr
Health-Commits0003,1.00,0.81,0.85,0.47,ezr
Health-Commits0004,0.98,0.84,0.92,0.46,ezr
Health-Commits0005,1.00,0.86,0.88,0.46,ezr
Health-Commits0006,1.00,0.70,0.85,0.48,ezr
Health-Commits0007,0.98,0.78,0.89,0.48,ezr
Health-Commits0008,0.99,0.86,0.84,0.45,ezr
