dataset,ezr,lime,shap,rand,best,found_pct,leaf_pct,lime_self,x_ezr,x_lime,x_shap,x_rand
7z,1.00,0.69,0.95,0.15,ezr,100,95,0.75,0.90,0.74,0.89,0.14
A2C_Acrobot,0.95,0.69,0.57,0.22,ezr,84,86,0.74,0.54,0.65,0.46,0.24
A2C_CartPole,0.92,0.83,0.67,0.31,ezr,99,72,0.83,0.70,0.85,0.59,0.29
Apache_AllMeasurements,1.00,0.85,0.91,0.24,ezr,98,90,0.86,0.90,0.84,0.82,0.25
BDBC,1.00,1.00,0.97,0.11,ezr,98,80,0.96,0.98,0.97,0.95,0.12
BankChurners,0.92,0.66,0.69,0.10,ezr,94,68,0.68,0.68,0.76,0.60,0.10
Car_price_cleaned,0.97,0.78,0.80,0.05,ezr,97,84,0.80,0.77,0.78,0.70,0.04
Data_COVID19_Indonesia,1.00,0.54,0.92,0.05,ezr,100,90,0.59,0.75,0.60,0.93,0.05
FFM-1000-200-0.50-SAT-1,0.97,1.00,0.89,0.00,ezr lime,100,86,0.96,0.78,0.98,0.85,0.00
FFM-125-25-0.50-SAT-1,1.00,0.99,0.92,0.01,ezr lime,100,83,0.94,0.84,0.97,0.93,0.02
FFM-250-50-0.50-SAT-1,0.99,1.00,0.90,0.01,ezr lime,100,84,0.96,0.82,0.97,0.91,0.01
FFM-500-100-0.50-SAT-1,0.97,0.97,0.89,0.00,ezr lime,100,75,0.91,0.86,0.93,0.90,0.00
FM-500-100-0.25-SAT-1,1.00,0.91,0.82,0.00,ezr,100,91,0.90,0.71,0.94,0.80,0.00
FM-500-100-0.50-SAT-1,0.99,1.00,0.85,0.00,ezr lime,100,90,0.95,0.75,0.93,0.86,0.01
FM-500-100-0.75-SAT-1,0.97,1.00,0.90,0.00,ezr lime,100,88,0.95,0.66,0.94,0.84,0.01
FM-500-100-1.00-SAT-1,1.00,1.00,0.90,0.00,ezr,100,88,0.93,0.85,0.95,0.91,0.00
HSMGP_num,1.00,0.91,0.90,0.14,ezr,96,89,0.90,0.93,0.94,0.89,0.16
HSQLDB,1.00,0.60,0.90,0.11,ezr,100,83,0.65,0.88,0.68,0.94,0.15
Health-ClosedIssues0000,1.00,0.74,0.91,0.44,ezr,100,94,0.71,0.85,0.64,0.90,0.49
Health-ClosedIssues0001,1.00,0.85,0.86,0.46,ezr,99,96,0.84,0.79,0.91,0.70,0.55
Health-ClosedIssues0002,1.00,0.63,0.85,0.46,ezr,100,97,0.60,0.58,0.53,0.81,0.49
Health-ClosedIssues0003,1.00,0.81,0.90,0.45,ezr,100,94,0.81,0.78,0.83,0.85,0.50
Health-ClosedIssues0004,1.00,0.90,0.85,0.45,ezr,100,92,0.86,0.80,0.90,0.79,0.43
Health-ClosedIssues0005,1.00,0.75,0.88,0.47,ezr,100,97,0.77,0.74,0.77,0.86,0.39
Health-ClosedIssues0006,1.00,0.88,0.90,0.47,ezr,99,97,0.88,0.87,0.88,0.85,0.47
Health-ClosedIssues0007,0.98,0.86,0.90,0.45,ezr,100,84,0.85,0.85,0.87,0.88,0.47
Health-ClosedIssues0008,1.00,0.93,0.90,0.45,ezr,100,99,0.90,0.72,0.90,0.90,0.64
Health-ClosedIssues0009,0.97,0.80,0.84,0.45,ezr,100,86,0.79,0.69,0.86,0.79,0.47
Health-ClosedIssues0010,0.98,0.85,0.85,0.45,ezr,100,88,0.85,0.77,0.82,0.73,0.52
Health-ClosedIssues0011,1.00,0.79,0.92,0.43,ezr,99,95,0.80,0.79,0.78,0.92,0.44
Health-ClosedPRs0000,1.00,0.51,1.00,0.45,ezr shap,100,85,0.55,0.96,0.57,1.00,0.42
Health-ClosedPRs0002,1.00,0.56,0.86,0.45,ezr,100,93,0.58,0.77,0.54,0.83,0.51
Health-ClosedPRs0003,1.00,0.61,0.87,0.46,ezr,100,94,0.62,0.68,0.63,0.83,0.41
Health-ClosedPRs0004,1.00,0.80,0.90,0.47,ezr,100,96,0.78,0.84,0.71,0.88,0.44
Health-ClosedPRs0005,1.00,0.72,0.89,0.45,ezr,100,96,0.70,0.66,0.67,0.92,0.48
Health-ClosedPRs0006,0.97,0.89,0.91,0.45,ezr,100,84,0.88,0.78,0.86,0.86,0.45
Health-ClosedPRs0007,0.99,0.87,0.89,0.46,ezr,99,92,0.87,0.79,0.90,0.82,0.46
Health-ClosedPRs0008,0.98,0.75,0.88,0.46,ezr,100,87,0.79,0.76,0.70,0.80,0.44
Health-ClosedPRs0009,0.98,0.83,0.88,0.44,ezr,100,88,0.82,0.80,0.75,0.84,0.42
Health-ClosedPRs0010,0.98,0.90,0.87,0.47,ezr,100,90,0.87,0.81,0.84,0.81,0.46
Health-ClosedPRs0011,1.00,0.59,0.86,0.45,ezr,100,93,0.60,0.68,0.64,0.91,0.45
Health-Commits0000,0.97,0.64,0.88,0.45,ezr,100,90,0.64,0.69,0.62,0.81,0.47
Health-Commits0001,1.00,0.66,0.86,0.47,ezr,100,96,0.68,0.70,0.82,0.91,0.45
Health-Commits0002,1.00,0.61,0.90,0.44,ezr,100,96,0.65,0.67,0.67,0.82,0.47
Health-Commits0003,1.00,0.81,0.85,0.47,ezr,100,92,0.79,0.86,0.87,0.79,0.47
Health-Commits0004,0.98,0.84,0.92,0.46,ezr,99,92,0.82,0.83,0.77,0.89,0.45
