dataset,ezr,lime,shap,rand,best,found_pct,leaf_pct,lime_self,x_ezr,x_lime,x_shap,x_rand
Health-Commits0005,1.00,0.86,0.88,0.46,ezr,99,98,0.87,0.71,0.78,0.78,0.43
Health-Commits0006,1.00,0.70,0.85,0.48,ezr,100,95,0.68,0.72,0.72,0.82,0.46
Health-Commits0007,0.98,0.78,0.89,0.48,ezr,100,88,0.79,0.81,0.73,0.82,0.45
Health-Commits0008,0.99,0.86,0.84,0.45,ezr,99,93,0.87,0.70,0.90,0.77,0.44
Health-Commits0009,1.00,0.85,0.93,0.46,ezr,99,98,0.81,1.00,0.79,0.86,0.60
Health-Commits0010,1.00,0.85,0.87,0.47,ezr,99,98,0.81,0.88,0.69,0.69,0.51
Health-Commits0011,1.00,0.80,0.88,0.49,ezr,99,96,0.81,0.80,0.72,0.79,0.45
LLVM,1.00,1.00,0.95,0.21,ezr,100,88,0.96,0.96,0.96,0.97,0.25
Life_Expectancy_Data,0.98,0.78,0.84,0.09,ezr,98,94,0.81,0.69,0.84,0.62,0.06
Loan,0.93,0.81,0.66,0.05,ezr,92,65,0.90,0.74,0.84,0.62,0.06
Marketing_Analytics,0.96,0.91,0.65,0.07,ezr,94,87,0.85,0.66,0.86,0.52,0.07
Medical_Data_and_Hospital_Readmissions,1.00,0.71,0.59,0.03,ezr,76,77,0.69,0.85,0.62,0.53,0.04
PostgreSQL,1.00,0.95,0.80,0.24,ezr,23,85,0.91,0.85,0.86,0.75,0.24
SQL_AllMeasurements,1.00,0.93,0.88,0.05,ezr,99,95,0.87,0.82,0.87,0.92,0.07
SS-A,1.00,1.00,1.00,1.00,ezr lime shap rand,99,96,1.00,0.98,1.00,1.00,1.00
SS-B,1.00,1.00,1.00,1.00,ezr lime shap rand,100,95,1.00,0.98,1.00,1.00,1.00
SS-C,1.00,1.00,1.00,1.00,lime shap rand,100,88,1.00,0.80,1.00,1.00,1.00
SS-D,1.00,1.00,1.00,1.00,ezr lime shap rand,95,93,1.00,0.89,1.00,1.00,1.00
SS-E,1.00,1.00,1.00,1.00,ezr lime shap rand,100,95,1.00,0.86,1.00,1.00,1.00
SS-F,1.00,1.00,1.00,1.00,ezr lime shap rand,96,94,1.00,0.92,1.00,1.00,1.00
SS-G,1.00,1.00,1.00,1.00,ezr lime shap rand,98,95,1.00,0.89,1.00,1.00,1.00
SS-H,0.95,0.78,0.95,0.61,ezr shap,100,82,0.79,0.69,0.76,0.91,0.57
SS-I,1.00,0.88,0.93,0.46,ezr,100,95,0.87,0.88,0.92,0.92,0.45
SS-J,1.00,0.99,0.95,0.36,ezr,100,91,0.94,0.78,0.99,0.93,0.30
SS-K,1.00,0.85,0.91,0.35,ezr,100,92,0.82,0.76,0.77,0.95,0.30
SS-L,0.97,0.80,0.82,0.18,ezr,100,88,0.83,0.78,0.70,0.71,0.21
SS-M,1.00,0.64,0.88,0.12,ezr,100,91,0.65,0.82,0.71,0.89,0.11
SS-N,1.00,0.78,0.89,0.11,ezr,98,87,0.83,0.88,0.78,0.77,0.13
SS-O,0.97,0.78,0.88,0.17,ezr,98,78,0.83,0.85,0.82,0.75,0.20
SS-P,1.00,0.89,0.85,0.18,ezr,100,88,0.88,0.90,0.88,0.97,0.17
SS-Q,1.00,0.93,0.97,0.15,ezr,100,92,0.88,0.87,0.94,0.92,0.12
SS-R,0.98,0.91,0.95,0.13,ezr,100,84,0.88,0.81,0.91,0.94,0.14
SS-S,1.00,0.80,0.90,0.35,ezr,100,96,0.78,0.85,0.86,0.74,0.41
SS-T,1.00,0.89,0.94,0.17,ezr,95,96,0.89,0.74,0.79,0.79,0.17
SS-U,1.00,1.00,0.97,0.07,ezr lime,100,81,0.97,0.88,0.99,0.97,0.10
SS-V,0.81,1.00,0.90,0.12,lime,100,48,0.97,0.62,0.96,0.88,0.13
SS-W,1.00,0.97,0.82,0.13,ezr,100,77,0.95,0.94,0.97,0.82,0.13
SS-X,1.00,1.00,1.00,0.18,lime,100,78,0.99,0.90,0.99,0.89,0.19
Scrum100k,1.00,1.00,0.88,0.02,ezr lime,100,87,0.94,0.82,0.94,0.89,0.01
Scrum10k,0.97,0.86,0.82,0.02,ezr,100,89,0.84,0.69,0.81,0.88,0.01
Scrum1k,1.00,0.97,0.78,0.01,ezr,100,92,0.90,0.64,0.80,0.77,0.02
WA_Fn-UseC_-HR-Employee-Attrition,0.92,0.76,0.69,0.06,ezr,87,66,0.77,0.76,0.78,0.64,0.06
WA_Fn-UseC_-Telco-Customer-Churn,1.00,0.72,0.95,0.10,ezr,98,95,0.70,0.76,0.75,0.95,0.08
Wine_quality,0.98,0.82,0.66,0.19,ezr,96,87,0.84,0.71,0.81,0.52,0.18
X264_AllMeasurements,1.00,1.00,0.97,0.10,ezr,100,88,0.97,0.89,0.99,0.99,0.08
accessories,1.00,0.68,1.00,0.15,ezr shap,100,88,0.73,0.89,0.63,0.99,0.21
all_players,1.00,0.80,0.76,0.03,ezr,98,93,0.86,0.81,0.76,0.65,0.04
auto93,1.00,0.95,0.97,0.62,ezr,96,92,0.93,0.84,0.95,0.90,0.66
billing10k,1.00,1.00,0.94,0.02,ezr lime,100,86,0.97,0.89,0.99,0.94,0.01
coc1000,0.93,0.81,0.47,0.09,ezr,92,84,0.81,0.59,0.76,0.33,0.07
dataset120,1.00,0.88,0.91,0.23,ezr,96,92,0.84,0.87,0.87,0.84,0.24
dataset600,1.00,0.88,0.85,0.24,ezr,94,94,0.85,0.85,0.80,0.80,0.27
dconvert,1.00,1.00,1.00,0.11,ezr,98,92,0.94,0.97,1.00,0.95,0.16
deeparch,1.00,1.00,0.97,0.16,ezr lime,100,85,0.98,0.97,0.98,0.98,0.17
dress-up,1.00,0.76,1.00,0.10,ezr shap,100,82,0.72,0.94,0.73,0.97,0.09
exastencils,1.00,0.76,0.91,0.17,ezr,96,96,0.79,0.93,0.80,0.86,0.16
home_data_for_ml_course,0.95,0.56,0.63,0.02,ezr,98,63,0.60,0.81,0.57,0.52,0.02
javagc,1.00,0.80,0.96,0.05,ezr,98,97,0.78,0.87,0.82,0.92,0.08
multiLabel,1.00,0.88,0.92,0.04,ezr,94,69,0.87,0.97,0.88,0.89,0.04
nasa93dem,0.90,0.67,0.66,0.09,ezr,80,67,0.79,0.68,0.63,0.47,0.10
player_statistics_cleaned_final,1.00,0.95,0.67,0.08,ezr,71,91,0.90,0.54,0.88,0.59,0.07
pom3a,1.00,0.83,0.69,0.24,ezr,97,97,0.86,0.53,0.81,0.55,0.18
pom3b,0.99,0.82,0.66,0.22,ezr,97,93,0.78,0.59,0.68,0.51,0.25
pom3c,0.98,0.85,0.71,0.23,ezr,100,92,0.86,0.74,0.84,0.69,0.23
pom3d,1.00,0.75,0.55,0.20,ezr,83,92,0.81,0.75,0.66,0.48,0.18
redis,0.97,0.72,0.62,0.23,ezr,97,84,0.76,0.78,0.68,0.54,0.23
rs-6d-c3_obj1,1.00,0.94,0.95,0.36,ezr,99,91,0.90,0.73,0.93,0.89,0.35
rs-6d-c3_obj2,0.88,0.84,0.92,0.35,ezr shap,98,58,0.80,0.71,0.82,0.87,0.35
socks,1.00,0.46,1.00,0.11,ezr shap,98,97,0.43,0.95,0.38,1.00,0.12
sol-6d-c2-obj1,1.00,0.78,0.90,0.35,ezr,98,95,0.79,0.98,0.76,0.74,0.30
storm,1.00,1.00,0.99,0.14,ezr lime shap,99,89,0.91,0.89,0.95,0.96,0.15
student_dropout,0.88,0.33,0.90,0.06,ezr shap,98,27,0.40,0.82,0.42,0.83,0.06
wallpaper,0.97,0.63,0.90,0.08,ezr,96,75,0.68,0.88,0.63,0.70,0.09
wc+rs-3d-c4-obj1,1.00,1.00,1.00,1.00,ezr lime shap rand,96,97,1.00,0.82,1.00,1.00,1.00
wc+sol-3d-c4-obj1,1.00,1.00,1.00,1.00,ezr lime shap rand,96,93,1.00,0.94,1.00,1.00,1.00
wc+wc-3d-c4-obj1,1.00,1.00,1.00,1.00,ezr lime shap rand,93,92,1.00,0.92,1.00,1.00,1.00
wc-6d-c1-obj1,1.00,0.86,0.93,0.35,ezr,97,95,0.84,0.69,0.86,0.92,0.29
x264,1.00,0.82,0.89,0.10,ezr,98,78,0.82,0.88,0.76,0.77,0.08
xomo_flight,0.99,0.92,0.73,0.08,ezr,94,90,0.90,0.70,0.85,0.64,0.10
xomo_ground,0.95,0.93,0.67,0.07,ezr lime,95,86,0.92,0.59,0.90,0.50,0.05
xomo_osp,0.97,0.97,0.70,0.08,ezr lime,92,91,0.88,0.67,0.88,0.58,0.11
xomo_osp2,1.00,0.92,0.69,0.08,ezr,93,94,0.87,0.66,0.82,0.51,0.12
