dataset,ezr,lime,shap,rand,best
Marketing_Analytics,11.1,5.5,6.2,1.3,ezr
Medical_Data_and_Hospital_Readmissions,3.5,1.0,4.1,1.2,ezr lime shap rand
PostgreSQL,2.7,76.2,76.3,-3.0,lime shap
SQL_AllMeasurements,1.3,1.0,1.4,-2.2,ezr lime shap
SS-A,51.2,8.1,28.5,-34.1,ezr
SS-B,50.1,31.1,28.1,-1.6,ezr
SS-C,51.0,32.1,35.7,-19.4,ezr
SS-D,26.4,11.7,19.0,-10.7,ezr
SS-E,35.0,24.7,32.0,-7.0,ezr shap
SS-F,36.1,-0.3,22.4,-17.9,ezr
SS-G,34.5,8.6,16.3,-12.8,ezr
SS-H,60.1,41.0,36.2,0.1,ezr
SS-I,34.7,22.0,21.9,-1.3,ezr
SS-J,54.9,21.2,32.9,1.2,ezr
SS-K,22.4,24.0,17.2,0.5,ezr lime
SS-L,39.3,33.8,40.9,0.1,ezr shap
SS-M,0.8,79.2,79.3,0.3,lime shap
SS-N,17.1,18.4,18.4,-0.4,ezr lime shap
SS-O,7.5,33.4,41.3,4.4,shap
SS-P,3.0,43.5,45.2,-0.1,lime shap
SS-Q,-9.9,72.5,74.6,4.7,lime shap
SS-R,9.5,42.8,48.5,3.0,shap
SS-S,70.5,25.0,22.6,-6.0,ezr
SS-T,63.0,55.8,43.6,10.9,ezr lime
SS-U,1.1,54.1,51.6,-1.7,lime shap
SS-V,3.5,40.7,40.7,-0.7,lime shap
SS-W,7.9,14.1,14.8,1.2,lime shap
SS-X,8.9,13.4,12.8,1.0,lime shap
Scrum100k,8.1,18.0,18.0,-0.2,lime shap
Scrum10k,10.6,19.9,21.9,-1.6,shap
Scrum1k,9.1,23.9,24.4,-3.0,lime shap
WA_Fn-UseC_-HR-Employee-Attrition,20.8,16.2,17.4,0.7,ezr
WA_Fn-UseC_-Telco-Customer-Churn,5.3,25.6,20.4,-2.1,lime
Wine_quality,7.0,3.5,6.6,0.1,ezr shap
X264_AllMeasurements,4.3,46.2,50.7,-3.8,shap
accessories,0.4,0.5,0.1,-0.0,ezr lime
all_players,9.5,5.2,4.8,0.2,ezr
auto93,45.4,18.6,21.0,1.8,ezr
billing10k,15.1,32.8,33.6,-0.7,shap
coc1000,1.3,0.5,0.0,-1.0,ezr
dataset120,15.7,7.7,14.1,7.0,ezr shap
dataset600,23.4,19.9,15.4,10.5,ezr
dconvert,16.3,50.1,45.6,-1.3,lime shap
deeparch,28.9,65.5,65.6,-0.4,lime shap
dress-up,-0.0,0.0,0.0,1.1,ezr lime shap rand
exastencils,38.0,23.6,37.5,4.4,ezr shap
home_data_for_ml_course,8.8,0.8,3.3,0.3,ezr
javagc,52.0,27.0,22.7,-0.6,ezr
multiLabel,8.3,5.4,11.9,-0.0,shap
nasa93dem,1.8,8.3,9.5,2.4,lime shap
player_statistics_cleaned_final,20.0,15.7,16.1,-1.1,ezr
pom3a,10.5,4.4,3.6,-0.3,ezr
pom3b,9.5,3.2,4.0,-1.7,ezr
pom3c,8.1,1.4,2.3,-1.3,ezr
pom3d,3.9,5.5,3.4,-1.9,ezr lime shap
redis,0.2,0.9,1.1,-0.6,ezr lime shap rand
rs-6d-c3_obj1,83.6,22.6,11.5,-2.5,ezr
rs-6d-c3_obj2,97.1,84.3,69.6,3.2,ezr
socks,93.0,45.4,62.6,-21.9,ezr
sol-6d-c2-obj1,82.6,71.7,73.3,11.8,ezr
storm,102.5,34.8,0.4,-7.6,ezr
student_dropout,100.5,59.1,59.1,0.0,ezr
wallpaper,0.8,11.6,11.1,-0.0,lime shap
wc+rs-3d-c4-obj1,97.0,67.1,34.6,21.1,ezr
wc+sol-3d-c4-obj1,95.2,74.3,41.5,18.4,ezr
wc+wc-3d-c4-obj1,99.4,67.1,48.7,16.7,ezr
wc-6d-c1-obj1,79.1,61.3,48.4,-0.0,ezr
x264,17.6,5.5,11.3,-1.6,ezr
xomo_flight,50.4,24.2,20.7,-0.0,ezr
xomo_ground,35.0,17.2,15.6,0.1,ezr
xomo_osp,35.4,11.5,17.2,-0.0,ezr
xomo_osp2,16.7,12.6,13.2,-1.5,ezr
