dataset,ezr,lime,shap,rand,best
7z,92.6,81.2,80.6,3.7,ezr lime shap
A2C_Acrobot,12.0,4.4,6.6,1.6,ezr
A2C_CartPole,9.3,7.1,4.9,0.4,ezr
Apache_AllMeasurements,50.3,58.5,63.3,-0.9,shap
BDBC,97.5,96.0,90.8,-1.9,ezr lime shap
BankChurners,22.8,9.9,7.4,-0.7,ezr
Car_price_cleaned,6.5,2.1,3.3,0.5,ezr
Data_COVID19_Indonesia,59.0,15.3,13.9,0.1,ezr
FFM-1000-200-0.50-SAT-1,15.0,31.9,30.7,-0.0,lime shap
FFM-125-25-0.50-SAT-1,8.4,33.5,30.2,5.1,lime
FFM-250-50-0.50-SAT-1,13.6,29.4,29.1,-2.0,lime shap
FFM-500-100-0.50-SAT-1,7.7,27.0,26.9,-0.6,lime shap
FM-500-100-0.25-SAT-1,11.7,20.1,22.9,-2.3,shap
FM-500-100-0.50-SAT-1,11.8,24.1,23.0,1.4,lime
FM-500-100-0.75-SAT-1,11.4,27.5,27.1,2.2,lime shap
FM-500-100-1.00-SAT-1,6.8,28.9,29.5,-0.9,lime shap
HSMGP_num,47.8,82.2,83.4,-24.6,lime shap
HSQLDB,35.1,94.5,94.8,-0.0,lime shap
Health-ClosedIssues0000,60.4,21.7,18.7,0.5,ezr
Health-ClosedIssues0001,-0.7,15.5,17.4,4.8,lime shap
Health-ClosedIssues0002,1.8,-0.0,-0.1,-6.1,ezr
Health-ClosedIssues0003,4.6,2.3,6.9,-3.0,ezr shap
Health-ClosedIssues0004,2.4,5.8,4.1,-4.4,ezr lime shap
Health-ClosedIssues0005,5.5,5.1,6.7,-6.1,ezr lime shap
Health-ClosedIssues0006,24.4,20.9,20.8,-1.0,ezr
Health-ClosedIssues0007,0.7,0.4,1.0,-0.4,ezr lime shap
Health-ClosedIssues0008,18.0,15.9,13.9,4.0,ezr lime shap
Health-ClosedIssues0009,4.3,0.9,3.0,0.8,ezr
Health-ClosedIssues0010,0.6,0.0,0.5,-0.5,ezr lime shap
Health-ClosedIssues0011,5.5,1.6,1.1,-5.5,ezr
Health-ClosedPRs0000,104.9,104.9,104.9,0.0,ezr lime shap
Health-ClosedPRs0002,41.1,0.0,0.0,-7.5,ezr
Health-ClosedPRs0003,66.4,0.0,0.0,-7.1,ezr
Health-ClosedPRs0004,6.9,2.5,1.7,-1.7,ezr
Health-ClosedPRs0005,11.5,-0.8,-0.5,-9.6,ezr
Health-ClosedPRs0006,10.2,5.3,4.3,0.1,ezr
Health-ClosedPRs0007,7.2,2.2,3.2,-3.9,ezr
Health-ClosedPRs0008,4.4,5.8,2.9,2.3,ezr lime
Health-ClosedPRs0009,1.6,0.5,1.0,-0.2,ezr
Health-ClosedPRs0010,6.5,2.7,2.8,0.4,ezr
Health-ClosedPRs0011,41.0,0.0,0.0,-7.3,ezr
Health-Commits0000,61.6,24.5,23.0,-2.1,ezr
Health-Commits0001,17.7,-0.8,-1.1,-11.8,ezr
Health-Commits0002,0.1,0.1,-0.0,-3.5,ezr
Health-Commits0003,2.8,-0.3,1.2,-2.3,ezr
Health-Commits0004,7.7,15.6,14.9,-4.6,lime shap
Health-Commits0005,8.0,9.1,6.7,-0.6,ezr lime shap
Health-Commits0006,1.3,36.6,42.6,8.4,lime shap
Health-Commits0007,32.1,6.8,8.4,0.5,ezr
Health-Commits0008,4.6,5.2,6.2,2.4,ezr lime shap
Health-Commits0009,20.4,40.1,36.6,2.3,lime shap
Health-Commits0010,0.1,-2.8,-3.8,-4.2,ezr
Health-Commits0011,3.5,-0.0,1.2,-3.8,ezr
LLVM,37.3,44.8,48.5,4.0,shap
Life_Expectancy_Data,22.9,11.0,10.6,-0.2,ezr
Loan,17.6,12.6,12.4,0.0,ezr
